rollout/success rate,train/n_updates,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total timesteps,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,time/fps,train/critic_loss
0.12,220380,2910,5799,92.99,220515,-490.30846962,1450.68759765625,0.001,75,54947.925
0.12,220480,2922,5800,92.99,220615,-494.30162143999996,1451.6372436523438,0.001,75,57978.531005859375
0.12,220580,2936,5801,92.99,220715,-492.04672462999997,1474.7310546875,0.001,75,48588.802490234375
0.12,220680,2948,5802,93.29,220804,-492.87595959,1465.6196166992188,0.001,74,58377.5109375
0.12,220780,2962,5803,93.29,220904,-492.75532303,1491.6371459960938,0.001,74,52805.31010742187
0.12,220880,2976,5804,93.29,221004,-496.66299948,1488.9107421875,0.001,74,36502.023193359375
0.11,220980,2989,5805,93.78,221104,-499.35629850999993,1495.4447998046876,0.001,73,40442.57221679688
0.11,221080,3004,5806,93.78,221204,-498.74662173999997,1486.5009521484376,0.001,73,41464.40727539062
0.11,221180,3019,5807,93.78,221304,-499.55787658,1502.7690063476562,0.001,73,50352.31264648437
0.11,221280,3033,5808,93.78,221404,-498.62300685,1509.8544677734376,0.001,72,36075.80634765625
0.11,221380,3047,5809,93.78,221504,-497.19164494000006,1484.434375,0.001,72,70143.9689453125
0.11,221480,3062,5810,93.78,221604,-496.5962800600001,1525.2982788085938,0.001,72,38697.2888671875
0.11,221580,3076,5811,93.78,221704,-492.3809537,1486.9355590820312,0.001,72,38408.7755859375
0.11,221680,3091,5812,93.78,221804,-496.34978391000004,1527.8103149414062,0.001,71,44544.33671875
0.11,221780,3106,5813,93.78,221904,-494.53593251999996,1530.2187377929688,0.001,71,52633.15961914063
0.11,221820,3113,5814,93.89,221949,-496.18190909,1540.460986328125,0.001,71,47299.27641601562
0.12,221840,3116,5815,93.1,221970,-489.26703343,1522.8491088867188,0.001,71,56616.73837890625
0.12,221940,3131,5816,93.1,222070,-487.98339159000005,1507.6485961914063,0.001,70,61065.14287109375
0.12,222040,3144,5817,93.1,222170,-489.6198519100001,1559.4351196289062,0.001,70,59780.98818359375
0.12,222140,3158,5818,93.1,222270,-491.22498204000004,1542.4427124023437,0.001,70,40838.5341796875
0.12,222240,3172,5819,93.1,222370,-498.78402973000004,1539.6706665039062,0.001,70,48182.58662109375
0.12,222340,3187,5820,93.1,222470,-496.85760342000003,1546.4500366210937,0.001,69,55573.36201171875
0.11,222440,3199,5821,93.34,222570,-502.72336056,1556.0930541992188,0.001,69,52526.81186523438
0.11,222540,3213,5822,93.34,222670,-504.27829726,1536.2830932617187,0.001,69,73551.7099609375
0.11,222640,3227,5823,93.34,222770,-510.74951638999994,1578.1635864257812,0.001,69,57313.46083984375
0.11,222740,3242,5824,93.34,222870,-509.37592363000005,1572.0014282226562,0.001,68,49101.7013671875
0.11,222840,3255,5825,93.34,222970,-508.6827829,1582.0181396484375,0.001,68,45565.672265625
0.11,222940,3270,5826,93.34,223070,-510.35360698,1585.1079467773438,0.001,68,63080.71162109375
0.12,223040,3284,5827,93.3,223166,-501.7798356199999,1599.4129272460937,0.001,67,58467.77080078125
0.13,223080,3290,5828,92.77,223213,-494.81470688999997,1587.0360107421875,0.001,67,59557.39150390625
0.13,223180,3303,5829,92.77,223313,-497.7053042199999,1590.884326171875,0.001,67,47811.528564453125
0.13,223280,3314,5830,92.77,223413,-499.9575315799999,1588.58369140625,0.001,67,71427.16181640625
0.13,223380,3327,5831,92.77,223513,-496.25317304,1614.510546875,0.001,67,56941.77314453125
0.14,223400,3331,5832,92.0,223536,-493.52265216,1610.6249389648438,0.001,67,61268.2541015625
0.14,223500,3342,5833,92.0,223636,-493.98989295,1595.5717651367188,0.001,66,68034.8626953125
0.14,223600,3357,5834,92.0,223736,-497.84974661,1612.5517700195312,0.001,66,56169.98740234375
0.13,223700,3372,5835,92.91,223836,-504.82099678,1613.1017211914063,0.001,66,63437.60615234375
0.13,223800,3384,5836,92.91,223936,-508.62210450999993,1614.3409545898437,0.001,66,69687.845703125
0.13,223900,3399,5837,92.91,224036,-509.5793323099999,1617.9708251953125,0.001,65,47467.27670898438
0.13,224000,3412,5838,92.91,224136,-507.3373020899999,1630.9448852539062,0.001,65,56285.65537109375
