rollout/success rate,time/total timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates
0.33,816527,9286,78.4,-286.02539597,300,2720,764.1764404296875,9181.063761901856,0.001,816420
0.34,816537,9287,77.5,-282.67440797,299,2722,,,,
0.34,816637,9288,77.5,-280.44724799000005,298,2735,758.3609130859375,9283.217324829102,0.001,816520
0.35,816646,9289,76.59,-279.38149202,298,2738,763.0037048339843,6338.399459838867,0.001,816540
0.36,816689,9290,76.02,-274.06050187,297,2744,755.3524658203125,7382.181506347656,0.001,816580
0.36,816692,9291,75.27,-275.35389575,297,2745,,,,
0.35,816792,9292,76.24,-279.76978794999997,295,2762,758.5208374023438,9529.355987548828,0.001,816680
0.35,816892,9293,76.24,-276.94236851,294,2777,757.5588317871094,14336.40505065918,0.001,816780
0.36,816906,9294,75.38,-272.48047750999996,293,2782,757.2877990722657,8373.17707977295,0.001,816800
0.36,817006,9295,75.38,-268.05805624,291,2799,756.7770751953125,10234.628144836426,0.001,816900
0.37,817019,9296,74.51,-266.21459182999996,291,2801,,,,
0.36,817119,9297,75.3,-271.47406226,289,2825,762.0455322265625,6172.804516601563,0.001,817000
0.36,817126,9298,74.87,-270.00648271,288,2827,754.5535766601563,9385.662896728516,0.001,817020
0.35,817226,9299,75.4,-277.08867282,287,2840,767.8619812011718,6906.763404846191,0.001,817120
0.35,817326,9300,75.4,-277.31370156,286,2857,760.0701293945312,10142.638897705077,0.001,817220
0.36,817344,9301,74.58,-270.57721580000003,285,2860,761.9688232421875,11254.146771240234,0.001,817240
0.36,817355,9302,73.91,-269.29418067,285,2863,,,,
0.36,817433,9303,74.35,-272.91701211,283,2880,761.7787780761719,10772.605932617187,0.001,817320
0.36,817533,9304,74.35,-273.46008276000003,282,2893,755.9759948730468,11213.381390380859,0.001,817420
0.36,817592,9305,74.78,-274.66310336000004,281,2903,757.4482666015625,10247.46266784668,0.001,817480
0.36,817601,9306,74.62,-274.42115726000003,281,2905,757.0307556152344,12603.287295532227,0.001,817500
0.37,817615,9307,73.76,-272.41652867000005,281,2908,,,,
0.38,817645,9308,73.06,-269.00589623,280,2913,757.3658264160156,6113.547592163086,0.001,817540
0.37,817745,9309,74.0,-275.32365957,279,2928,755.0199340820312,10307.473104858398,0.001,817640
0.37,817845,9310,74.0,-273.26769814,277,2949,756.7562683105468,10569.062341308594,0.001,817740
0.37,817945,9311,74.0,-276.32670946999997,275,2965,761.2563537597656,9760.338836669922,0.001,817840
0.36,818045,9312,74.25,-279.61615242,274,2978,762.4030029296875,10214.400189208984,0.001,817940
0.36,818145,9313,74.25,-281.21896654,273,2994,761.3521606445313,8602.829598999024,0.001,818040
0.37,818156,9314,73.36,-277.04829249,272,2997,,,,
0.36,818256,9315,74.29,-281.65199406,271,3012,754.2853942871094,9700.189309692383,0.001,818140
0.37,818297,9316,73.7,-278.81534088999996,270,3020,760.0359375,8465.215014648438,0.001,818180
0.36,818397,9317,74.5,-282.98184963999995,269,3033,763.6271789550781,13691.846789550782,0.001,818280
0.35,818497,9318,74.58,-287.55137382,267,3054,757.7367919921875,11295.969451904297,0.001,818380
0.36,818507,9319,73.68,-282.95650667999996,267,3057,756.3378234863281,7804.827311706543,0.001,818400
0.37,818514,9320,72.75,-279.8071592,267,3058,,,,
0.37,818614,9321,72.75,-279.81346288000003,266,3075,752.5115539550782,9797.756895446777,0.001,818500
0.37,818714,9322,72.75,-274.74084473000005,265,3088,755.1988891601562,11877.767478942871,0.001,818600
0.37,818814,9323,72.75,-270.69916745,263,3103,760.1241149902344,12380.208370971679,0.001,818700
0.36,818914,9324,73.41,-272.2521126,262,3117,757.9001342773438,10368.188682556152,0.001,818800
