time/fps,time/episodes,time/time_elapsed,train/actor_loss,rollout/success rate,train/n_updates,time/total timesteps,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
176,4412,2344,871.1573669433594,0.21,413220,413340,12227.496810913086,0.001,-423.77734023,85.98
174,4413,2366,870.4037292480468,0.21,413320,413440,2831.6707427978517,0.001,-422.9746355100001,85.98
174,4414,2368,860.1476684570313,0.22,413340,413450,10114.698544311523,0.001,-418.9396534000001,85.08
173,4415,2382,866.7663269042969,0.22,413440,413550,8240.301333618165,0.001,-411.99475467999997,85.08
172,4416,2400,872.4648681640625,0.21,413540,413650,8970.332666015625,0.001,-414.97874341999994,85.27
171,4417,2416,870.4928466796875,0.21,413640,413750,8505.870468139648,0.001,-418.11094956,85.27
170,4418,2431,860.4236328125,0.2,413740,413850,11784.410009765625,0.001,-429.13032799999996,86.15
169,4419,2446,866.5412414550781,0.2,413840,413950,8311.593710327148,0.001,-433.34405101,86.15
167,4420,2465,867.0650634765625,0.19,413940,414050,8374.193966674804,0.001,-439.0287207000001,87.0
167,4421,2478,870.2565246582031,0.19,414040,414150,14108.643585205078,0.001,-441.30990591,87.0
165,4422,2498,864.4986389160156,0.19,414140,414250,9338.477337646484,0.001,-443.57135865000004,87.0
165,4423,2511,860.2930419921875,0.19,414240,414350,14544.68099975586,0.001,-445.93459098,87.0
163,4424,2529,866.0984741210938,0.19,414340,414450,11663.138847351074,0.001,-445.65742652,87.0
162,4425,2547,861.1273742675781,0.19,414440,414550,12659.496673583984,0.001,-456.79360694,87.0
162,4426,2558,865.3814270019532,0.2,414500,414601,7843.625036621093,0.001,-454.81649368,86.51
161,4427,2574,871.8832275390625,0.2,414600,414701,4906.102438354492,0.001,-455.60183624999996,86.51
160,4428,2577,,0.21,,414716,,,-451.7066765100001,85.66
159,4429,2595,865.8640258789062,0.21,414700,414816,7240.136376953125,0.001,-459.27095075000005,85.66
158,4430,2611,867.2529235839844,0.21,414800,414916,7320.109808349609,0.001,-459.7932578,85.66
157,4431,2630,866.3526000976562,0.21,414900,415016,9447.113233947754,0.001,-457.25140312999997,85.66
156,4432,2650,868.0516662597656,0.21,415000,415116,7386.356254577637,0.001,-457.28852080999997,85.66
155,4433,2667,857.9816589355469,0.2,415100,415216,15358.492800903321,0.001,-460.03764315,86.29
154,4434,2684,861.0846740722657,0.2,415200,415316,7270.9127197265625,0.001,-460.41965422999994,86.29
153,4435,2703,861.4225830078125,0.2,415300,415416,15996.897607421875,0.001,-459.46223732999994,86.29
152,4436,2722,872.4256164550782,0.2,415400,415516,14425.205056762696,0.001,-466.19658125999996,86.29
151,4437,2742,855.9421875,0.19,415500,415616,12693.007739257813,0.001,-466.94295246999997,87.01
150,4438,2758,861.7343200683594,0.19,415600,415716,7767.258541870117,0.001,-470.82922917999997,87.01
150,4439,2760,871.3015991210938,0.2,415620,415725,8980.297650146484,0.001,-461.73463425999995,86.1
149,4440,2775,876.0292846679688,0.2,415720,415825,5352.372543334961,0.001,-457.67845738000005,86.1
148,4441,2796,874.0288757324219,0.2,415820,415925,5218.443255615234,0.001,-456.16166095999995,86.1
147,4442,2814,874.4825744628906,0.2,415920,416025,5731.441333007812,0.001,-459.38330362999994,86.1
146,4443,2831,865.1518371582031,0.2,416020,416125,15414.453540039063,0.001,-459.87927440999994,86.1
146,4444,2847,871.7343017578125,0.2,416120,416225,6071.307846069336,0.001,-456.8469538599999,86.1
145,4445,2861,868.1886840820313,0.2,416220,416325,9869.100317382812,0.001,-457.97967242,86.1
144,4446,2876,860.9339416503906,0.2,416320,416425,13423.61579284668,0.001,-494.3454061999999,86.1
143,4447,2896,861.9760498046875,0.2,416420,416525,6780.5177947998045,0.001,-497.55826995,86.1
142,4448,2915,862.14404296875,0.2,416520,416625,8431.082562255859,0.001,-499.69581960999994,86.1
142,4449,2917,,0.21,,416634,,,-496.51808095,85.19
142,4450,2932,871.2946655273438,0.2,416620,416734,7330.935107421875,0.001,-539.42569823,85.92
141,4451,2951,868.1398010253906,0.19,416720,416834,9516.038311767577,0.001,-545.32607969,86.78
140,4452,2969,865.4022094726563,0.19,416820,416934,7855.1468505859375,0.001,-544.1759997600001,86.78
139,4453,2988,861.0725830078125,0.18,416920,417034,9410.48125,0.001,-544.97872869,87.45
139,4454,2994,861.389208984375,0.19,416960,417068,8008.976782226562,0.001,-541.38764153,86.79
