time/total timesteps,train/n_updates,rollout/success rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,rollout/ep_len_mean
613820,513800,0.01,223,-3898.6858645800003,2748,6144,552714.2916015625,0.001,5620.203466796875,99.38
613920,513900,0.01,221,-3870.86235653,2767,6145,613772.2287109375,0.001,5585.268603515625,99.38
614020,514000,0.01,220,-3874.6109548399995,2789,6146,381235.8142578125,0.001,5562.39951171875,99.38
614120,514100,0.01,219,-3858.51217107,2803,6147,462793.9578125,0.001,5653.278955078125,99.38
614220,514200,0.01,217,-3865.7583816999995,2823,6148,633183.4353515625,0.001,5602.946044921875,99.38
614320,514300,0.01,215,-3868.7163377599995,2845,6149,607657.303125,0.001,5568.32451171875,99.38
614420,514400,0.01,214,-3901.5646641899993,2862,6150,372434.11455078126,0.001,5553.07060546875,99.38
614520,514500,0.01,213,-3937.49099522,2883,6151,338584.355859375,0.001,5559.298486328125,99.38
614620,514600,0.01,211,-3936.29775676,2902,6152,587936.3603515625,0.001,5617.07041015625,99.38
614720,514700,0.01,209,-3984.66156467,2929,6153,597732.28046875,0.001,5601.665234375,99.38
614820,514800,0.01,208,-3988.659946529999,2952,6154,522674.737890625,0.001,5625.52880859375,99.38
614920,514900,0.01,206,-4019.1039972399994,2973,6155,284540.0525390625,0.001,5658.516796875,99.38
615020,515000,0.01,204,-4063.4982078499993,3000,6156,683991.85859375,0.001,5589.06494140625,99.38
615120,515100,0.0,203,-4150.386084039999,3021,6157,661346.7969726563,0.001,5610.106103515625,100.0
615220,515200,0.0,202,-4137.27963185,3045,6158,538680.369140625,0.001,5645.535205078125,100.0
615320,515300,0.0,200,-4103.56849431,3068,6159,435759.8474609375,0.001,5646.24423828125,100.0
615420,515400,0.0,199,-4084.6293598699995,3084,6160,628485.6578125,0.001,5593.14736328125,100.0
615520,515500,0.0,198,-4091.30812802,3101,6161,506221.21015625,0.001,5562.884912109375,100.0
615620,515600,0.0,196,-4058.8623672599992,3125,6162,395667.6087890625,0.001,5545.976220703125,100.0
615720,515700,0.0,195,-4013.0680597099995,3141,6163,765500.8888671875,0.001,5571.238818359375,100.0
615820,515800,0.0,194,-3995.84814724,3162,6164,545578.682421875,0.001,5582.0724609375,100.0
615920,515900,0.0,193,-4021.3109202800006,3185,6165,528199.211328125,0.001,5570.415771484375,100.0
616020,516000,0.0,192,-4035.6325352199997,3205,6166,759532.1080078125,0.001,5703.95400390625,100.0
616120,516100,0.0,190,-4136.83394873,3231,6167,853730.355859375,0.001,5622.272314453125,100.0
616220,516200,0.0,189,-4150.52521145,3244,6168,673237.979296875,0.001,5559.410107421875,100.0
616320,516300,0.0,188,-4090.1557834899995,3267,6169,717895.595703125,0.001,5596.231884765625,100.0
616420,516400,0.0,187,-4162.07526425,3291,6170,580778.023828125,0.001,5613.006640625,100.0
616520,516500,0.0,186,-4181.1647479,3314,6171,406357.9998046875,0.001,5594.14296875,100.0
616620,516600,0.0,184,-4196.17951483,3338,6172,543086.483984375,0.001,5622.08330078125,100.0
616720,516700,0.0,183,-4196.33899653,3362,6173,476495.69296875,0.001,5578.66357421875,100.0
616820,516800,0.0,182,-4204.36148647,3385,6174,388002.727734375,0.001,5601.503466796875,100.0
616920,516900,0.0,181,-4229.785451950001,3406,6175,513796.34765625,0.001,5589.825390625,100.0
617020,517000,0.0,180,-4264.80695368,3419,6176,523249.7318359375,0.001,5630.988134765625,100.0
617120,517100,0.0,179,-4283.754668150001,3438,6177,716472.5703125,0.001,5633.050244140625,100.0
617220,517200,0.0,178,-4311.199548160001,3461,6178,389593.8146484375,0.001,5619.371533203125,100.0
617320,517300,0.0,177,-4349.397615260001,3484,6179,549496.3203125,0.001,5616.68798828125,100.0
617420,517400,0.0,176,-4362.917631310001,3500,6180,636325.9048828125,0.001,5626.136083984375,100.0
617520,517500,0.0,175,-4399.858441050001,3521,6181,625882.99375,0.001,5628.885986328125,100.0
617620,517600,0.0,174,-4366.52243479,3544,6182,364979.5982421875,0.001,5712.94580078125,100.0
617720,517700,0.0,173,-4367.73556898,3564,6183,346711.4650390625,0.001,5628.754296875,100.0
617820,517800,0.0,172,-4347.59034929,3584,6184,462106.620703125,0.001,5600.9869140625,100.0
617920,517900,0.0,171,-4358.656962280001,3602,6185,666420.310546875,0.001,5612.448486328125,100.0
618020,518000,0.0,170,-4403.484341730001,3620,6186,352518.900390625,0.001,5640.83701171875,100.0
618120,518100,0.0,169,-4387.243693910001,3641,6187,781781.896875,0.001,5614.159521484375,100.0
618220,518200,0.0,168,-4411.683196940001,3658,6188,579211.4798828125,0.001,5655.556201171875,100.0
618320,518300,0.0,168,-4411.74908219,3675,6189,496245.8280273437,0.001,5585.68203125,100.0
618420,518400,0.0,167,-4355.835703170001,3696,6190,229868.5541015625,0.001,5657.17861328125,100.0
618520,518500,0.0,166,-4380.91135817,3716,6191,510366.0427734375,0.001,5632.509375,100.0
618620,518600,0.0,165,-4356.6187801,3735,6192,632225.22265625,0.001,5527.774951171875,100.0
618720,518700,0.0,164,-4381.21293179,3754,6193,769805.512890625,0.001,5590.07431640625,100.0
618820,518800,0.0,164,-4436.560660380001,3770,6194,412530.4943359375,0.001,5549.40771484375,100.0
618920,518900,0.0,162,-4428.56940868,3800,6195,403016.1109375,0.001,5511.184912109375,100.0
619020,519000,0.0,162,-4417.90702282,3817,6196,747677.084375,0.001,5561.719140625,100.0
619120,519100,0.0,161,-4408.80946241,3837,6197,431015.1841796875,0.001,5605.91455078125,100.0
619220,519200,0.0,160,-4405.220048420001,3869,6198,500638.94453125,0.001,5572.947216796875,100.0
619320,519300,0.0,159,-4398.0958593800015,3884,6199,378071.709765625,0.001,5602.653271484375,100.0
619420,519400,0.0,158,-4448.81398481,3907,6200,391081.136328125,0.001,5647.214111328125,100.0
619520,519500,0.0,157,-4445.22214062,3932,6201,437066.3126953125,0.001,5599.616015625,100.0
619620,519600,0.0,156,-4442.37953454,3954,6202,562117.524609375,0.001,5584.461279296875,100.0
619720,519700,0.0,155,-4442.08982578,3977,6203,626870.8552734375,0.001,5660.65859375,100.0
619820,519800,0.0,155,-4480.11271655,3997,6204,504947.473828125,0.001,5586.73955078125,100.0
619920,519900,0.0,154,-4476.17031881,4015,6205,527792.121875,0.001,5654.45849609375,100.0
620020,520000,0.0,153,-4465.003104030001,4032,6206,688466.21328125,0.001,5586.67734375,100.0
620120,520100,0.0,153,-4447.743219230001,4046,6207,446865.5994140625,0.001,5667.78359375,100.0
620220,520200,0.0,152,-4490.2505528500005,4067,6208,451488.5611328125,0.001,5626.007568359375,100.0
620320,520300,0.0,151,-4477.904160110001,4083,6209,572893.2078125,0.001,5638.45615234375,100.0
620420,520400,0.0,151,-4481.515038580001,4099,6210,518695.9095703125,0.001,5703.15146484375,100.0
620520,520500,0.0,150,-4447.58809127,4113,6211,604754.8935546875,0.001,5587.35341796875,100.0
620620,520600,0.0,150,-4555.86032772,4136,6212,612038.2546875,0.001,5636.755859375,100.0
620697,520680,0.01,149,-4546.55054338,4151,6213,546452.568359375,0.001,5634.110546875,99.77
620797,520780,0.01,148,-4594.79391548,4167,6214,363879.9791015625,0.001,5546.317822265625,99.77
620897,520880,0.01,148,-4548.419323120001,4179,6215,736431.7009765625,0.001,5585.159716796875,99.77
620997,520980,0.01,147,-4520.3736829,4198,6216,574820.2861328125,0.001,5538.704541015625,99.77
621097,521080,0.01,147,-4506.7563313400005,4211,6217,551619.8130859375,0.001,5614.49345703125,99.77
621197,521180,0.01,146,-4488.86524901,4226,6218,678933.91875,0.001,5670.465771484375,99.77
621297,521280,0.01,146,-4470.79252255,4241,6219,628378.1708984375,0.001,5594.341357421875,99.77
621397,521380,0.01,146,-4489.24290397,4255,6220,508022.246484375,0.001,5597.270458984375,99.77
621497,521480,0.01,145,-4445.12511808,4277,6221,652658.5421875,0.001,5562.986572265625,99.77
621597,521580,0.01,144,-4469.745426480001,4294,6222,628059.003515625,0.001,5593.325,99.77
621697,521680,0.01,143,-4467.75214089,4320,6223,655004.0173828125,0.001,5518.11767578125,99.77
621797,521780,0.01,143,-4472.569105250001,4337,6224,455297.1359375,0.001,5595.9064453125,99.77
621897,521880,0.01,142,-4467.196204559999,4353,6225,617224.590625,0.001,5596.173779296875,99.77
621997,521980,0.01,142,-4456.756632629999,4367,6226,373099.1955078125,0.001,5623.644287109375,99.77
622097,522080,0.01,141,-4529.10260502,4381,6227,578765.73046875,0.001,5641.2224609375,99.77
622197,522180,0.01,141,-4532.13292738,4406,6228,411538.355859375,0.001,5566.890380859375,99.77
622297,522280,0.01,140,-4578.388100249999,4436,6229,485545.77265625,0.001,5667.62841796875,99.77
622397,522380,0.01,139,-4629.11334119,4468,6230,417936.04365234374,0.001,5582.257275390625,99.77
622497,522480,0.01,138,-4643.14257938,4489,6231,560398.8904296875,0.001,5619.3828125,99.77
622597,522580,0.01,137,-4653.41066229,4512,6232,526477.2361328125,0.001,5644.74091796875,99.77
622697,522680,0.01,137,-4644.650834290001,4534,6233,560385.00546875,0.001,5602.27880859375,99.77
622797,522780,0.01,136,-4694.96512031,4559,6234,381030.0685546875,0.001,5582.12392578125,99.77
622897,522880,0.01,136,-4705.71661165,4578,6235,573943.0150390625,0.001,5507.274853515625,99.77
622997,522980,0.01,135,-4725.21751277,4597,6236,535422.2966796875,0.001,5637.428759765625,99.77
623097,523080,0.01,134,-4792.894281450001,4617,6237,616907.395703125,0.001,5605.158447265625,99.77
623197,523180,0.01,134,-4844.320848650001,4636,6238,651263.842578125,0.001,5632.1810546875,99.77
623297,523280,0.01,133,-4833.343610870001,4654,6239,511823.2857421875,0.001,5652.47294921875,99.77
623397,523380,0.01,133,-4881.312973640001,4671,6240,394078.676171875,0.001,5666.27744140625,99.77
623497,523480,0.01,133,-4805.9382636,4687,6241,768040.048046875,0.001,5655.81396484375,99.77
623597,523580,0.01,132,-4865.7511143,4707,6242,665329.6296875,0.001,5578.7068359375,99.77
623697,523680,0.01,132,-4896.277382560001,4724,6243,584278.93203125,0.001,5681.621826171875,99.77
623797,523780,0.01,131,-4923.76766433,4746,6244,729807.8553710937,0.001,5538.2869140625,99.77
623897,523880,0.01,130,-4953.332859470001,4771,6245,569162.7615234375,0.001,5528.899169921875,99.77
623997,523980,0.01,130,-4948.78855299,4790,6246,642387.7236328125,0.001,5648.720458984375,99.77
624097,524080,0.01,129,-5012.03238176,4816,6247,695074.93359375,0.001,5619.4666015625,99.77
624197,524180,0.01,129,-5003.39464989,4836,6248,703214.54609375,0.001,5575.7087890625,99.77
624297,524280,0.01,128,-5067.13970157,4862,6249,528225.1443359375,0.001,5595.04931640625,99.77
624397,524380,0.01,127,-5075.22256068,4883,6250,385459.3267578125,0.001,5665.155517578125,99.77
624497,524480,0.01,127,-5041.45478315,4899,6251,499748.276953125,0.001,5597.545458984375,99.77
624597,524580,0.01,126,-5037.52586742,4920,6252,594815.0484375,0.001,5552.732958984375,99.77
624697,524680,0.01,126,-5001.78753889,4941,6253,580850.0251953125,0.001,5601.556396484375,99.77
624797,524780,0.01,125,-5003.063580880001,4963,6254,571638.441796875,0.001,5608.364794921875,99.77
624897,524880,0.01,125,-5022.262415170001,4982,6255,716682.8443359375,0.001,5621.833935546875,99.77
624997,524980,0.01,124,-5066.161194370001,5008,6256,471884.06640625,0.001,5604.42822265625,99.77
625097,525080,0.01,124,-5059.35474238,5028,6257,598351.644140625,0.001,5507.1494140625,99.77
625197,525180,0.01,123,-5100.82976386,5048,6258,471567.6330078125,0.001,5628.6203125,99.77
625297,525280,0.01,123,-5134.72420554,5075,6259,494649.7404296875,0.001,5666.247607421875,99.77
625397,525380,0.01,122,-5150.817499590001,5099,6260,562649.7455078125,0.001,5631.74609375,99.77
625497,525480,0.01,122,-5135.07569285,5117,6261,843743.88359375,0.001,5557.329638671875,99.77
625597,525580,0.01,121,-5137.98355718,5134,6262,247501.8849609375,0.001,5640.835986328125,99.77
625697,525680,0.01,121,-5172.7621387,5150,6263,356939.162890625,0.001,5675.5568359375,99.77
625797,525780,0.01,121,-5129.767079680001,5170,6264,484123.493359375,0.001,5697.54833984375,99.77
625897,525880,0.01,120,-5118.184298820001,5183,6265,685038.770703125,0.001,5541.789599609375,99.77
625997,525980,0.01,120,-5113.45225192,5202,6266,536813.3515625,0.001,5564.2365234375,99.77
626097,526080,0.01,119,-5001.05618623,5225,6267,583852.808984375,0.001,5561.550634765625,99.77
626197,526180,0.01,119,-4971.63239614,5248,6268,456886.7060546875,0.001,5621.16865234375,99.77
626297,526280,0.01,118,-4982.110046010001,5267,6269,588636.287890625,0.001,5610.615673828125,99.77
626397,526380,0.01,118,-4948.319636640001,5286,6270,446720.0123046875,0.001,5642.076318359375,99.77
626497,526480,0.01,117,-4884.12956115,5312,6271,489517.1845703125,0.001,5598.775830078125,99.77
626597,526580,0.01,117,-4903.24292248,5330,6272,509858.731640625,0.001,5604.740966796875,99.77
626697,526680,0.01,117,-4900.4204731,5347,6273,594911.46484375,0.001,5647.86162109375,99.77
626797,526780,0.01,116,-4854.0234906,5374,6274,259265.2400390625,0.001,5670.3115234375,99.77
626897,526880,0.01,116,-4905.487849900001,5393,6275,605644.669140625,0.001,5617.319287109375,99.77
626997,526980,0.01,115,-4922.08763643,5414,6276,498829.572265625,0.001,5645.75498046875,99.77
627097,527080,0.01,115,-4893.42230219,5437,6277,742101.0869140625,0.001,5581.237353515625,99.77
