train/learning_rate,train/critic_loss,rollout/success rate,time/episodes,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total timesteps,rollout/ep_len_mean
0.001,8805.786474609375,0.23,6790,699.6586669921875,610700,-320.54364654000005,322,1896,610820,85.47
0.001,6031.345761108399,0.22,6791,699.7679077148438,610800,-324.58115819000005,319,1912,610920,86.39
0.001,5174.435067749024,0.22,6792,690.0450378417969,610900,-325.54282727000003,315,1936,611020,86.39
0.001,5172.707348632813,0.22,6793,695.6738525390625,611000,-333.07268508,313,1951,611120,86.39
0.001,10323.766888427734,0.22,6794,694.2006774902344,611100,-355.05424357000004,310,1968,611220,86.39
0.001,6668.409280395508,0.22,6795,704.2064086914063,611200,-389.03575229,308,1980,611320,86.39
0.001,3963.2717559814455,0.23,6796,691.9913879394531,611260,-379.2080789600001,307,1988,611363,85.82
0.001,5927.0802734375,0.23,6797,699.3428405761719,611360,-380.74705969999997,305,2000,611463,85.82
0.001,7294.213771057129,0.22,6798,693.5133666992188,611460,-383.57887235999993,303,2014,611563,86.62
0.001,5649.474436950683,0.21,6799,695.6549072265625,611560,-385.40613643999995,300,2036,611663,87.19
0.001,5007.685446166992,0.21,6800,691.5397644042969,611660,-388.61087044,298,2051,611763,87.19
0.001,5398.782496643066,0.21,6801,697.2382019042968,611760,-392.79349821999995,295,2068,611863,87.19
0.001,6435.20475769043,0.21,6802,684.873291015625,611860,-393.2655626199999,293,2085,611963,87.19
0.001,8535.138000488281,0.21,6803,699.6265075683593,611960,-393.17603660999987,290,2104,612063,87.19
0.001,9993.266424560547,0.21,6804,694.0235961914062,612060,-423.86640835999987,289,2117,612163,87.19
0.001,8859.685546875,0.2,6805,693.851611328125,612160,-429.93309611999996,286,2133,612263,87.91
,,0.21,6806,,,-427.0265493899999,286,2136,612276,87.04
0.001,7760.6278076171875,0.21,6807,693.4695434570312,612260,-427.53340421999985,283,2159,612376,87.04
0.001,6706.266241455078,0.22,6808,698.3422058105468,612300,-421.19223063,282,2164,612410,86.38
0.001,6314.758190917969,0.21,6809,700.9822631835938,612400,-431.53801433999996,279,2188,612510,86.41
0.001,9695.9928314209,0.21,6810,681.1050109863281,612500,-431.90372049000007,277,2208,612610,86.41
0.001,6803.039337158203,0.2,6811,687.1291381835938,612600,-437.27586834,275,2227,612710,86.86
0.001,4582.020297241211,0.2,6812,702.1029235839844,612700,-441.14360280999995,273,2243,612810,86.86
0.001,9415.696487426758,0.2,6813,700.36484375,612800,-437.76014805,270,2262,612910,86.86
0.001,10509.411196899415,0.21,6814,694.6171447753907,612820,-436.56112921999994,270,2264,612924,86.0
0.001,8339.953741455078,0.21,6815,705.0206665039062,612920,-439.81296944,268,2280,613024,86.0
0.001,7976.737557983399,0.22,6816,704.3316223144532,612980,-436.81242339,267,2289,613086,85.62
0.001,7430.637394714356,0.22,6817,696.538427734375,613080,-435.98511412999994,265,2310,613186,85.62
0.001,7163.901647949218,0.22,6818,702.1496643066406,613180,-438.6087499800001,263,2324,613286,85.62
0.001,8046.663110351563,0.21,6819,699.045703125,613280,-442.38281960999996,261,2343,613386,85.71
0.001,7259.139559936523,0.2,6820,706.1302917480468,613380,-444.9430826800001,259,2360,613486,86.43
0.001,11348.696017456055,0.2,6821,687.9270690917969,613480,-441.96816782,258,2375,613586,86.43
0.001,8200.751849365235,0.19,6822,698.6736267089843,613580,-445.0983815500001,256,2392,613686,87.37
0.001,8090.467059326172,0.19,6823,687.1692626953125,613680,-444.97111590000003,254,2412,613786,87.37
,,0.2,6824,,,-442.10312967000004,254,2414,613795,86.46
0.001,7117.781195068359,0.19,6825,698.42880859375,613780,-449.1400354,252,2431,613895,87.3
0.001,9364.04575805664,0.19,6826,711.9636352539062,613880,-448.7667786800001,250,2447,613995,87.3
0.001,6088.153515625,0.19,6827,706.6327758789063,613980,-446.69687197,249,2465,614095,87.3
0.001,8291.640521240235,0.19,6828,706.1034118652344,614080,-444.52272891,247,2483,614195,87.3
0.001,3844.589276123047,0.18,6829,712.5727478027344,614180,-462.55634288,245,2498,614295,88.01
0.001,15801.578497314453,0.19,6830,694.4796142578125,614260,-460.5374121,244,2509,614363,87.69
0.001,8400.282638549805,0.19,6831,707.3621948242187,614360,-457.83733035000006,243,2526,614463,87.69
0.001,6736.526849365235,0.18,6832,704.53759765625,614460,-460.57962178,241,2544,614563,88.56
0.001,10597.610391235352,0.18,6833,710.2334716796875,614560,-459.7255541400001,239,2562,614663,88.56
0.001,8395.676119995118,0.19,6834,698.1630676269531,614580,-457.6200428500001,239,2568,614697,87.9
0.001,8588.533309936523,0.18,6835,699.3168395996094,614680,-461.00367039000014,238,2582,614797,88.42
0.001,5841.832620239258,0.18,6836,698.7291442871094,614780,-479.31785876000015,236,2597,614897,88.42
0.001,9502.528253173828,0.17,6837,697.9831359863281,614880,-482.71095426000005,235,2615,614997,89.27
0.001,7963.173880004882,0.17,6838,705.3986694335938,614980,-479.31592728000004,233,2629,615097,89.27
0.001,6958.849334716797,0.18,6839,710.3728515625,615000,-477.1103572199999,233,2633,615114,88.44
,,0.18,6840,,,-477.0269293899999,233,2634,615115,88.33
0.001,6536.151556396484,0.18,6841,707.2768798828125,615100,-477.51563744999993,232,2650,615215,88.33
0.001,8898.183892822266,0.17,6842,699.8544860839844,615200,-479.0342677500001,230,2667,615315,88.39
0.001,10518.44970703125,0.17,6843,702.8964660644531,615300,-482.5952050000001,229,2685,615415,88.39
0.001,7832.5546875,0.17,6844,704.3705871582031,615380,-483.6400398200001,228,2696,615485,88.17
0.001,10112.539999389648,0.18,6845,701.5979797363282,615400,-481.2774342100001,227,2700,615505,87.37
0.001,6697.116372680664,0.18,6846,707.0482727050781,615500,-483.78309966000006,226,2714,615605,87.37
0.001,9010.68625793457,0.18,6847,703.3154052734375,615600,-507.03601527000006,225,2728,615705,87.37
0.001,6732.395672607422,0.19,6848,698.2263427734375,615680,-506.31284261,224,2740,615787,87.19
0.001,8251.823037719727,0.19,6849,700.2683410644531,615780,-507.99972969999993,223,2757,615887,87.19
0.001,5858.120455932617,0.19,6850,703.357666015625,615880,-516.55020961,222,2770,615987,87.19
0.001,8437.066009521484,0.19,6851,699.2613464355469,615980,-519.57467166,221,2784,616087,87.19
0.001,5876.839723205567,0.19,6852,705.2764587402344,616080,-523.2190984700001,219,2803,616187,87.19
0.001,8968.699447631836,0.19,6853,698.4483642578125,616180,-522.79277965,218,2817,616287,87.19
0.001,10945.531207275391,0.19,6854,698.2595153808594,616280,-520.0612618900001,217,2834,616387,87.19
0.001,9314.288372802734,0.19,6855,706.9878662109375,616380,-520.82448637,216,2849,616487,87.19
0.001,8999.444369506837,0.19,6856,703.2273803710938,616440,-520.8283904200001,215,2862,616560,87.85
0.001,6185.231732177735,0.19,6857,706.845458984375,616540,-520.44420474,214,2875,616660,87.85
0.001,6928.517568969726,0.19,6858,702.7347839355468,616640,-518.34335463,213,2889,616760,87.85
0.001,8244.12898864746,0.2,6859,694.4858642578125,616740,-515.5631815400001,212,2902,616847,87.72
0.001,7031.222679138184,0.21,6860,693.2658142089844,616760,-507.78625887000004,212,2906,616862,86.87
0.001,8700.829626464843,0.22,6861,696.4131774902344,616780,-503.7006797,211,2912,616895,86.2
0.001,7681.4687774658205,0.22,6862,695.3936584472656,616800,-502.7253447399999,211,2915,616905,86.06
0.001,8504.85776977539,0.22,6863,698.6864685058594,616900,-498.75429755,210,2930,617005,86.06
,,0.22,6864,,,-498.68977272000006,210,2933,617015,85.88
0.001,8297.621502685546,0.22,6865,685.3577270507812,617000,-509.5162882199999,209,2952,617115,85.88
0.001,8360.943106079101,0.22,6866,696.3031433105468,617100,-504.06746228,207,2968,617215,85.88
0.001,8895.861572265625,0.22,6867,696.5285461425781,617200,-500.30451600999993,206,2984,617315,85.88
0.001,6363.678375244141,0.22,6868,709.1065307617188,617300,-503.94873269,205,2997,617415,85.88
0.001,9823.385626220703,0.22,6869,699.1774047851562,617400,-504.84312851999994,204,3012,617515,85.88
0.001,9582.687225341797,0.22,6870,710.5251647949219,617500,-507.59079355,203,3032,617615,85.88
,,0.22,6871,,,-507.70297191,203,3033,617616,85.68
0.001,12539.176275634765,0.22,6872,696.0080322265625,617600,-512.37465889,202,3051,617716,85.68
0.001,9984.607202148438,0.21,6873,693.8542907714843,617700,-515.3250557900001,201,3068,617816,86.07
0.001,7446.231909179687,0.21,6874,704.02939453125,617800,-514.89574584,200,3083,617916,86.07
0.001,12255.266986083985,0.21,6875,693.46123046875,617900,-513.84812835,199,3099,618016,86.07
0.001,12183.273834228516,0.22,6876,699.2266235351562,617960,-508.86604945,198,3109,618077,85.68
0.001,9746.819946289062,0.21,6877,704.1763732910156,618060,-520.0515605200001,197,3125,618177,86.57
0.001,9032.042163085938,0.21,6878,682.1331237792969,618160,-513.13556826,196,3139,618277,86.57
0.001,11678.899108886719,0.21,6879,690.134912109375,618260,-508.65681800999994,196,3153,618377,86.57
0.001,13083.061279296875,0.21,6880,699.9296142578125,618360,-510.5431263899999,195,3168,618477,86.57
0.001,12400.178198242187,0.21,6881,698.2072692871094,618460,-512.6149669399999,194,3186,618577,86.57
0.001,11232.875323486329,0.21,6882,684.4585266113281,618560,-513.9894214,193,3201,618677,86.57
0.001,12275.598608398437,0.22,6883,680.3664367675781,618620,-511.01471575999994,192,3209,618723,86.03
0.001,15258.34227294922,0.22,6884,694.9423950195312,618720,-511.54472411,191,3227,618823,86.03
0.001,14702.810815429688,0.22,6885,689.3397827148438,618820,-518.23439109,190,3243,618923,86.03
0.001,16781.6853515625,0.22,6886,692.6596496582031,618920,-518.23418723,190,3257,619023,86.03
,,0.23,6887,,,-510.41975023,189,3258,619028,85.08
0.001,9375.017919921875,0.23,6888,692.27431640625,619020,-512.8888962,189,3274,619128,85.08
0.001,16618.69304199219,0.23,6889,678.358642578125,619120,-535.2827357499999,188,3286,619228,85.08
0.001,13858.676916503906,0.23,6890,692.1360107421875,619220,-534.3514003599998,187,3303,619328,85.08
0.001,14069.834729003906,0.23,6891,690.1343811035156,619320,-535.44364115,186,3320,619428,85.08
0.001,10331.532580566407,0.23,6892,686.4807495117187,619420,-537.48900904,185,3342,619528,85.08
0.001,13372.670434570313,0.23,6893,691.2259033203125,619520,-531.98245534,184,3359,619628,85.08
0.001,13828.509826660156,0.24,6894,683.080859375,619540,-510.28324512000006,184,3364,619644,84.24
0.001,12058.957580566406,0.24,6895,672.0120910644531,619640,-481.05666002000004,182,3390,619744,84.24
0.001,13967.489086914062,0.23,6896,695.9487915039062,619740,-503.51939597000006,180,3425,619844,84.81
0.001,9039.9755859375,0.23,6897,693.4057739257812,619840,-506.88281322,180,3440,619944,84.81
0.001,12554.930078125,0.23,6898,683.6032409667969,619940,-505.67329187,179,3461,620044,84.81
0.001,11376.001782226562,0.23,6899,703.81416015625,620040,-508.2875059100001,177,3484,620144,84.81
0.001,12723.864379882812,0.23,6900,700.1316284179687,620140,-505.39279530000005,177,3499,620244,84.81
0.001,11303.395349121094,0.23,6901,705.6179138183594,620240,-502.63949026,176,3519,620344,84.81
0.001,10695.197735595702,0.23,6902,684.81875,620340,-507.99391778000006,174,3545,620444,84.81
0.001,10003.018774414062,0.23,6903,704.58525390625,620440,-526.05833531,173,3575,620544,84.81
